QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
4;3;5ou+;163 a 4126m2;Patamares;1M a 88M
2;nan;2;60 a 80m2;Vila Laura;0 a 300K
4;nan;5ou+;163 a 4126m2;Jardim Apipema;1M a 88M
3;2;4;110 a 163m2;Pituba;650K a 1M
2;2;2;80 a 110m2;Graça;650K a 1M
3;1;3;80 a 110m2;Cabula;300K a 450K
3;2;2;80 a 110m2;Stiep;0 a 300K
2;1;2;60 a 80m2;Pituba;300K a 450K
4;2;3;110 a 163m2;Caminho das Árvores;650K a 1M
3;2;3;80 a 110m2;Graça;650K a 1M
3;1;2;110 a 163m2;Federação;300K a 450K
1;1;1;60 a 80m2;Armação;450K a 650K
4;1;1;163 a 4126m2;Graça;450K a 650K
3;2;2;80 a 110m2;Centro Administrativo da Bahia;650K a 1M
2;2;2;80 a 110m2;Stiep;450K a 650K
1;2;2;60 a 80m2;Caminho das Árvores;450K a 650K
2;3;3;60 a 80m2;Federação;650K a 1M
3;3;1;110 a 163m2;Horto Bela Vista;650K a 1M
3;1;3;110 a 163m2;Vila Laura;0 a 300K
2;1;2;60 a 80m2;Armação;300K a 450K
4;2;4;163 a 4126m2;Horto Florestal;1M a 88M
3;2;3;80 a 110m2;Brotas;450K a 650K
3;2;4;80 a 110m2;Patamares;650K a 1M
4;4;5ou+;163 a 4126m2;Candeal;1M a 88M
3;2;4;163 a 4126m2;Comércio;1M a 88M
3;1;3;80 a 110m2;Piatã;300K a 450K
1;1;2;13 a 60m2;Graça;450K a 650K
2;1;3;60 a 80m2;Armação;300K a 450K
3;1;2;60 a 80m2;Rio Vermelho;0 a 300K
2;1;1;13 a 60m2;Brotas;0 a 300K
3;1;2;60 a 80m2;Brotas;0 a 300K
3;2;3;80 a 110m2;Pituba;450K a 650K
5ou+;4;5ou+;163 a 4126m2;Ondina;1M a 88M
3;2;4;163 a 4126m2;Pituba;650K a 1M
2;2;3;110 a 163m2;Itaigara;650K a 1M
3;1;3;110 a 163m2;Brotas;300K a 450K
1;1;1;13 a 60m2;Dois de Julho;450K a 650K
1;1;1;13 a 60m2;Piatã;300K a 450K
3;2;4;110 a 163m2;Patamares;650K a 1M
3;1;3;110 a 163m2;Pituba;300K a 450K
2;1;1;60 a 80m2;Cabula;300K a 450K
4;5ou+;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;2;3;110 a 163m2;Alphaville I;650K a 1M
3;2;3;80 a 110m2;Caminho das Árvores;650K a 1M
4;3;4;163 a 4126m2;Canela;1M a 88M
2;nan;2;80 a 110m2;Nazaré;0 a 300K
5ou+;5ou+;5ou+;163 a 4126m2;Ondina;1M a 88M
2;2;2;80 a 110m2;Armação;650K a 1M
2;1;1;60 a 80m2;Brotas;0 a 300K
2;1;2;;Jardim das Margaridas;0 a 300K
4;5ou+;5ou+;163 a 4126m2;Rio Vermelho;1M a 88M
2;1;2;13 a 60m2;Pernambués;300K a 450K
3;2;4;110 a 163m2;Costa Azul;450K a 650K
3;4;5ou+;163 a 4126m2;Pituba;650K a 1M
2;1;2;60 a 80m2;Amaralina;0 a 300K
3;1;3;60 a 80m2;Pituaçu;450K a 650K
3;2;5ou+;110 a 163m2;Graça;1M a 88M
3;2;4;110 a 163m2;Pituba;650K a 1M
2;1;2;60 a 80m2;Pituba;300K a 450K
3;2;5ou+;110 a 163m2;Pituba;1M a 88M
3;1;2;110 a 163m2;Itaigara;450K a 650K
3;3;3;110 a 163m2;Pituba;1M a 88M
3;nan;2;60 a 80m2;Vale dos Lagos;0 a 300K
4;2;3;163 a 4126m2;Canela;1M a 88M
3;nan;2;80 a 110m2;Engenho Velho de Brotas;300K a 450K
2;nan;1;13 a 60m2;São Marcos;0 a 300K
3;2;3;163 a 4126m2;Rio Vermelho;450K a 650K
3;2;4;110 a 163m2;Patamares;1M a 88M
2;1;2;80 a 110m2;Pituba;450K a 650K
3;2;3;110 a 163m2;Itaigara;450K a 650K
2;1;2;13 a 60m2;Imbuí;0 a 300K
2;2;5ou+;110 a 163m2;Pituaçu;1M a 88M
2;nan;2;60 a 80m2;Federação;0 a 300K
2;nan;1;13 a 60m2;Cabula;0 a 300K
2;1;1;13 a 60m2;Mussurunga II;0 a 300K
3;1;3;80 a 110m2;Pituba;300K a 450K
4;2;4;110 a 163m2;Caminho das Árvores;650K a 1M
4;2;4;163 a 4126m2;Pituba;650K a 1M
3;2;3;110 a 163m2;Pituba;450K a 650K
3;1;3;80 a 110m2;Brotas;300K a 450K
3;1;1;60 a 80m2;Vila Laura;300K a 450K
3;3;4;110 a 163m2;Horto Florestal;650K a 1M
3;1;2;80 a 110m2;Vila Laura;450K a 650K
