;QUARTO_INFOS;GARAGEM_INFOS;BANHEIROS_INFOS;AREA_SEGMENTADA;BAIRRO;FAIXA_PRECOS
2225;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Itapuã;(300000.0, 450000.0]
2226;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Stiep;(450000.0, 650000.0]
2227;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Paralela;(450000.0, 650000.0]
2228;2 quartos;2 vagas de garagem;1 banheiro;(80.0, 110.0];Pituba;(650000.0, 1140000.0]
2229;3 quartos;1 vaga de garagem;1 banheiro;(80.0, 110.0];Piatã;(300000.0, 450000.0]
2230;2 quartos;;2 banheiros;(80.0, 110.0];Monte Serrat;(-0.001, 300000.0]
2231;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Federação;(300000.0, 450000.0]
2232;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Brotas;(-0.001, 300000.0]
2233;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Graça;(450000.0, 650000.0]
2234;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Ondina;(300000.0, 450000.0]
2235;4 quartos;3 vagas de garagem;4 banheiros;(163.0, 4126.0];Canela;(1140000.0, 88000000.0]
2236;4 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Barra;(1140000.0, 88000000.0]
2237;2 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Pituba;(650000.0, 1140000.0]
2238;3 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Resgate;(-0.001, 300000.0]
2239;1 quarto;1 vaga de garagem;2 banheiros;(12.999, 60.0];Pituaçu;(300000.0, 450000.0]
2240;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Vila Laura;(650000.0, 1140000.0]
2241;3 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Caminho das Árvores;(650000.0, 1140000.0]
2242;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Armação;(300000.0, 450000.0]
2243;3 quartos;;2 banheiros;(12.999, 60.0];Imbuí;(-0.001, 300000.0]
2244;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
2245;3 quartos;1 vaga de garagem;2 banheiros;(110.0, 163.0];Barra;(300000.0, 450000.0]
2246;3 quartos;2 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Barbalho;(650000.0, 1140000.0]
2247;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
2248;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
2249;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Acupe de Brotas;(300000.0, 450000.0]
2250;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Armação;(300000.0, 450000.0]
2251;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
2252;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Pituba;(300000.0, 450000.0]
2253;4 quartos;1 vaga de garagem;2 banheiros;(163.0, 4126.0];Graça;(300000.0, 450000.0]
2254;1 quarto;2 vagas de garagem;1 banheiro;(12.999, 60.0];Canela;(300000.0, 450000.0]
2255;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
2256;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Nova Brasília;(-0.001, 300000.0]
2257;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Itaigara;(300000.0, 450000.0]
2258;2 quartos;;1 banheiro;(60.0, 80.0];São Marcos;(-0.001, 300000.0]
2259;2 quartos;;1 banheiro;(12.999, 60.0];Tancredo Neves;(-0.001, 300000.0]
2260;3 quartos;1 vaga de garagem;1 banheiro;(110.0, 163.0];Engenho Velho de Brotas;(300000.0, 450000.0]
2261;4 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Pituba;(650000.0, 1140000.0]
2262;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Costa Azul;(450000.0, 650000.0]
2263;3 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Pituba;(1140000.0, 88000000.0]
2264;2 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Armação;(300000.0, 450000.0]
2265;3 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Federação;(-0.001, 300000.0]
2266;3 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Barra;(650000.0, 1140000.0]
2267;4 quartos;3 vagas de garagem;4 banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
2268;4 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Graça;(450000.0, 650000.0]
2269;5 ou mais quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Barra;(1140000.0, 88000000.0]
2270;4 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Pituba;(450000.0, 650000.0]
2271;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Graça;(650000.0, 1140000.0]
2272;4 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Graça;(650000.0, 1140000.0]
2273;2 quartos;;2 banheiros;(60.0, 80.0];Vila Laura;(300000.0, 450000.0]
2274;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Vitória;(1140000.0, 88000000.0]
2275;4 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Patamares;(1140000.0, 88000000.0]
2276;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Brotas;(-0.001, 300000.0]
2277;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Horto Bela Vista;(650000.0, 1140000.0]
2278;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(-0.001, 300000.0]
2279;2 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Itaigara;(650000.0, 1140000.0]
2280;3 quartos;1 vaga de garagem;3 banheiros;(163.0, 4126.0];Barra;(300000.0, 450000.0]
2281;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
2282;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
2283;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Vila Laura;(-0.001, 300000.0]
2284;3 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Barbalho;(1140000.0, 88000000.0]
2285;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Stiep;(300000.0, 450000.0]
2286;3 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Imbuí;(450000.0, 650000.0]
2287;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Caminho das Árvores;(300000.0, 450000.0]
2288;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
2289;4 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituaçu;(1140000.0, 88000000.0]
2290;2 quartos;;2 banheiros;(60.0, 80.0];Vale dos Lagos;(-0.001, 300000.0]
2291;2 quartos;;3 banheiros;(60.0, 80.0];Sussuarana;(-0.001, 300000.0]
2292;4 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Rio Vermelho;(1140000.0, 88000000.0]
2293;4 quartos;4 vagas de garagem;1 banheiro;(163.0, 4126.0];Comércio;(1140000.0, 88000000.0]
2294;3 quartos;5 ou mais vagas de garagem;3 banheiros;(60.0, 80.0];Pituba;(300000.0, 450000.0]
2295;4 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Vila Laura;(450000.0, 650000.0]
2296;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Costa Azul;(-0.001, 300000.0]
2297;2 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Costa Azul;(300000.0, 450000.0]
2298;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Candeal;(1140000.0, 88000000.0]
2299;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
2300;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Canela;(450000.0, 650000.0]
2301;3 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Centro;(450000.0, 650000.0]
2302;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
2303;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Brotas;(-0.001, 300000.0]
2304;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Barra;(450000.0, 650000.0]
2305;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Cabula;(-0.001, 300000.0]
2306;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Barra;(300000.0, 450000.0]
2307;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
2308;1 quarto;;1 banheiro;(12.999, 60.0];Rio Vermelho;(-0.001, 300000.0]
2309;3 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Candeal;(1140000.0, 88000000.0]
2310;4 quartos;1 vaga de garagem;3 banheiros;(163.0, 4126.0];Barra;(450000.0, 650000.0]
2311;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Piatã;(300000.0, 450000.0]
2312;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Barra;(1140000.0, 88000000.0]
2313;3 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Costa Azul;(300000.0, 450000.0]
2314;2 quartos;;1 banheiro;(12.999, 60.0];Sussuarana;(-0.001, 300000.0]
2315;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Armação;(450000.0, 650000.0]
2316;1 quarto;2 vagas de garagem;1 banheiro;(12.999, 60.0];Rio Vermelho;(300000.0, 450000.0]
2317;2 quartos;;1 banheiro;(12.999, 60.0];Cidade Nova;(-0.001, 300000.0]
2318;4 quartos;3 vagas de garagem;3 banheiros;(163.0, 4126.0];Pituba;(1140000.0, 88000000.0]
2319;3 quartos;2 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Pituba;(1140000.0, 88000000.0]
2320;2 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
2321;4 quartos;;4 banheiros;(163.0, 4126.0];Vitória;(1140000.0, 88000000.0]
2322;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Armação;(300000.0, 450000.0]
2323;3 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Caminho das Árvores;(1140000.0, 88000000.0]
2324;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Armação;(450000.0, 650000.0]
2325;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Patamares;(650000.0, 1140000.0]
2326;1 quarto;1 vaga de garagem;2 banheiros;(12.999, 60.0];Acupe de Brotas;(-0.001, 300000.0]
2327;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Patamares;(1140000.0, 88000000.0]
2328;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Alphaville I;(1140000.0, 88000000.0]
2329;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Pituba;(450000.0, 650000.0]
2330;2 quartos;;2 banheiros;(60.0, 80.0];Caminho das Árvores;(450000.0, 650000.0]
2331;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
2332;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Costa Azul;(300000.0, 450000.0]
2333;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Pituba;(300000.0, 450000.0]
2334;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Barbalho;(-0.001, 300000.0]
2335;3 quartos;;2 banheiros;(80.0, 110.0];Graça;(-0.001, 300000.0]
2336;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
2337;2 quartos;;2 banheiros;(60.0, 80.0];Itapuã;(-0.001, 300000.0]
2338;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Imbuí;(450000.0, 650000.0]
2339;3 quartos;2 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
2340;4 quartos;4 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Caminho das Árvores;(1140000.0, 88000000.0]
2341;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Patamares;(1140000.0, 88000000.0]
2342;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Ondina;(450000.0, 650000.0]
2343;4 quartos;1 vaga de garagem;3 banheiros;(163.0, 4126.0];Pituba;(450000.0, 650000.0]
2344;3 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Federação;(-0.001, 300000.0]
2345;3 quartos;1 vaga de garagem;1 banheiro;(110.0, 163.0];Luiz Anselmo;(-0.001, 300000.0]
2346;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Pituaçu;(1140000.0, 88000000.0]
2347;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Paralela;(450000.0, 650000.0]
2348;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Matatu;(-0.001, 300000.0]
2349;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Trobogy;(-0.001, 300000.0]
2350;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Pituba;(300000.0, 450000.0]
2351;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Sussuarana;(-0.001, 300000.0]
2352;3 quartos;;3 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
2353;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Piatã;(300000.0, 450000.0]
2354;2 quartos;2 vagas de garagem;1 banheiro;(60.0, 80.0];Jardim Apipema;(300000.0, 450000.0]
2355;1 quarto;2 vagas de garagem;2 banheiros;(60.0, 80.0];Caminho das Árvores;(650000.0, 1140000.0]
2356;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Luiz Anselmo;(300000.0, 450000.0]
2357;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
2358;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Itapuã;(-0.001, 300000.0]
2359;4 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Ondina;(650000.0, 1140000.0]
2360;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Mussurunga I;(-0.001, 300000.0]
2361;1 quarto;1 vaga de garagem;2 banheiros;(12.999, 60.0];Pituba;(-0.001, 300000.0]
2362;3 quartos;3 vagas de garagem;3 banheiros;(110.0, 163.0];Caminho das Árvores;(1140000.0, 88000000.0]
2363;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
2364;5 ou mais quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Canela;(450000.0, 650000.0]
2365;3 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Alphaville I;(1140000.0, 88000000.0]
2366;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Brotas;(-0.001, 300000.0]
2367;2 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Vitória;(1140000.0, 88000000.0]
2368;2 quartos;;1 banheiro;(12.999, 60.0];Brotas;(-0.001, 300000.0]
2369;4 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Canela;(1140000.0, 88000000.0]
2370;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
2371;3 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Brotas;(-0.001, 300000.0]
2372;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
2373;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
2374;4 quartos;;3 banheiros;(60.0, 80.0];Brotas;(-0.001, 300000.0]
2375;3 quartos;3 vagas de garagem;1 banheiro;(110.0, 163.0];Horto Bela Vista;(650000.0, 1140000.0]
2376;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Itapuã;(-0.001, 300000.0]
2377;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Paralela;(650000.0, 1140000.0]
2378;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
2379;1 quarto;;1 banheiro;(12.999, 60.0];Dois de Julho;(-0.001, 300000.0]
2380;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Alphaville I;(650000.0, 1140000.0]
2381;3 quartos;2 vagas de garagem;1 banheiro;(60.0, 80.0];Costa Azul;(300000.0, 450000.0]
2382;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Sussuarana;(-0.001, 300000.0]
2383;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Vila Laura;(300000.0, 450000.0]
2384;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Candeal;(450000.0, 650000.0]
2385;3 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Brotas;(650000.0, 1140000.0]
2386;3 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
2387;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Ondina;(300000.0, 450000.0]
2388;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Resgate;(300000.0, 450000.0]
2389;3 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Paralela;(650000.0, 1140000.0]
2390;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Stiep;(300000.0, 450000.0]
2391;2 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Horto Florestal;(650000.0, 1140000.0]
2392;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
2393;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Caminho das Árvores;(300000.0, 450000.0]
2394;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Brotas;(450000.0, 650000.0]
2395;3 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Imbuí;(300000.0, 450000.0]
2396;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
2397;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Engenho Velho da Federação;(650000.0, 1140000.0]
2398;4 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Itaigara;(650000.0, 1140000.0]
2399;1 quarto;2 vagas de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(-0.001, 300000.0]
2400;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(450000.0, 650000.0]
2401;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
2402;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Águas Claras;(-0.001, 300000.0]
2403;3 quartos;;1 banheiro;(80.0, 110.0];Graça;(650000.0, 1140000.0]
2404;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Rio Vermelho;(650000.0, 1140000.0]
2405;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Paralela;(300000.0, 450000.0]
2406;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Brotas;(450000.0, 650000.0]
2407;3 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Alphaville I;(1140000.0, 88000000.0]
2408;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Itaigara;(300000.0, 450000.0]
2409;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Piatã;(300000.0, 450000.0]
2410;3 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
2411;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
2412;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
2413;3 quartos;;2 banheiros;(60.0, 80.0];Armação;(300000.0, 450000.0]
2414;3 quartos;2 vagas de garagem;2 banheiros;(163.0, 4126.0];Pituaçu;(650000.0, 1140000.0]
2415;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Piatã;(-0.001, 300000.0]
2416;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituba;(300000.0, 450000.0]
2417;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Patamares;(300000.0, 450000.0]
2418;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Boca do Rio;(-0.001, 300000.0]
2419;2 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Pituba;(300000.0, 450000.0]
2420;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Pituba;(300000.0, 450000.0]
2421;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Barra;(450000.0, 650000.0]
2422;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(450000.0, 650000.0]
2423;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Barra;(450000.0, 650000.0]
2424;1 quarto;1 vaga de garagem;2 banheiros;(60.0, 80.0];Barra;(650000.0, 1140000.0]
2425;2 quartos;;2 banheiros;(60.0, 80.0];Caminho das Árvores;(450000.0, 650000.0]
2426;3 quartos;2 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
2427;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Ondina;(1140000.0, 88000000.0]
2428;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Rio Vermelho;(300000.0, 450000.0]
2429;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Brotas;(-0.001, 300000.0]
2430;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
2431;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
2432;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Candeal;(650000.0, 1140000.0]
2433;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Barra;(450000.0, 650000.0]
2434;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituaçu;(-0.001, 300000.0]
2435;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Canabrava;(-0.001, 300000.0]
2436;4 quartos;2 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Pituba;(1140000.0, 88000000.0]
2437;4 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Stiep;(450000.0, 650000.0]
2438;4 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(300000.0, 450000.0]
2439;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Rio Vermelho;(450000.0, 650000.0]
2440;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Amaralina;(-0.001, 300000.0]
2441;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Pituba;(650000.0, 1140000.0]
2442;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
2443;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Itapuã;(650000.0, 1140000.0]
2444;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Imbuí;(300000.0, 450000.0]
2445;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
2446;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Barra;(300000.0, 450000.0]
2447;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Brotas;(-0.001, 300000.0]
2448;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Águas Claras;(-0.001, 300000.0]
2449;4 quartos;2 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Armação;(650000.0, 1140000.0]
2450;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
2451;4 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
2452;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Stella Maris;(300000.0, 450000.0]
2453;3 quartos;3 vagas de garagem;4 banheiros;(163.0, 4126.0];Caminho das Árvores;(1140000.0, 88000000.0]
2454;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Caminho das Árvores;(650000.0, 1140000.0]
2455;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Itapuã;(-0.001, 300000.0]
2456;3 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Vila Laura;(450000.0, 650000.0]
2457;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Amaralina;(-0.001, 300000.0]
2458;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Candeal;(450000.0, 650000.0]
2459;4 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Graça;(650000.0, 1140000.0]
2460;4 quartos;1 vaga de garagem;3 banheiros;(163.0, 4126.0];Vitória;(450000.0, 650000.0]
2461;3 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Caminho das Árvores;(650000.0, 1140000.0]
2462;2 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Armação;(650000.0, 1140000.0]
2463;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Nazaré;(-0.001, 300000.0]
2464;2 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Jardim Apipema;(450000.0, 650000.0]
2465;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Pituba;(300000.0, 450000.0]
2466;2 quartos;;2 banheiros;(60.0, 80.0];Brotas;(-0.001, 300000.0]
2467;2 quartos;;1 banheiro;(12.999, 60.0];Brotas;(-0.001, 300000.0]
2468;5 ou mais quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Jardim Apipema;(1140000.0, 88000000.0]
2469;3 quartos;3 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Armação;(1140000.0, 88000000.0]
2470;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Boca do Rio;(-0.001, 300000.0]
2471;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Jardim Apipema;(-0.001, 300000.0]
2472;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Imbuí;(650000.0, 1140000.0]
2473;2 quartos;1 vaga de garagem;2 banheiros;(110.0, 163.0];Ondina;(1140000.0, 88000000.0]
2474;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Armação;(650000.0, 1140000.0]
2475;4 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Horto Bela Vista;(650000.0, 1140000.0]
