;QUARTO_INFOS;GARAGEM_INFOS;BANHEIROS_INFOS;AREA_SEGMENTADA;BAIRRO;FAIXA_PRECOS
1508;3 quartos;3 vagas de garagem;3 banheiros;(80.0, 110.0];Horto Florestal;(650000.0, 1140000.0]
1509;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Cabula VI;(-0.001, 300000.0]
1510;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Imbuí;(450000.0, 650000.0]
1511;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Caminho das Árvores;(650000.0, 1140000.0]
1512;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Vila Laura;(-0.001, 300000.0]
1513;1 quarto;1 vaga de garagem;2 banheiros;(12.999, 60.0];Pituba;(300000.0, 450000.0]
1514;2 quartos;2 vagas de garagem;1 banheiro;(60.0, 80.0];Jardim Apipema;(300000.0, 450000.0]
1515;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Pituba;(1140000.0, 88000000.0]
1516;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Itaigara;(650000.0, 1140000.0]
1517;4 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
1518;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituba;(-0.001, 300000.0]
1519;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Imbuí;(-0.001, 300000.0]
1520;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Amaralina;(300000.0, 450000.0]
1521;4 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
1522;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Armação;(-0.001, 300000.0]
1523;2 quartos;;1 banheiro;(12.999, 60.0];Fazenda Grande do Retiro;(-0.001, 300000.0]
1524;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Alphaville I;(650000.0, 1140000.0]
1525;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
1526;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
